ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	ALIGNMENT
9959	YornoSo	(colonial) army	lar+me	l a r + m e	139	l a r + m e
13421	BankanTey	(dog) howl, bay (verb only)	loor+o	l oo r + o	148	l oo r + o
13422	Mombo	(dog) howl, bay (verb only)	kɔm+ɛ	k ɔ m + ɛ	150	k ɔ m + ɛ
13423	BonduSoNajamba	(dog) howl, bay (verb only)	iniy+e	i n iy + e	149	i n iy + e
13424	Nanga	(dog) howl, bay (verb only)	gund+o	g u n d + o	151	g u n d + o
13425	PergeTegu	(dog) howl, bay (verb only)	bool+o	b oo l + o	152	b oo l + o
13426	TommoSoTongoTongo	(dog) howl, bay (verb only)	kood+o	k oo d + o	151	k oo - d + o
13427	YandaDom	(dog) howl, bay (verb only)	kod+o	k o d + o	151	k o - d + o
13428	YornoSo	(dog) howl, bay (verb only)	pi+i	p i + i	155	p i + i
15147	Ampari	(e.g. bird) fly	kir+i+ye	k i r + i + ye	156	k i r + i + ye
15148	BankanTey	(e.g. bird) fly	kis+i+ye	k i s + i + ye	156	k i s + i + ye
15149	BenTey	(e.g. bird) fly	kis+i+ye	k i s + i + ye	156	k i s + i + ye
15150	Bunoge	(e.g. bird) fly	pil+le	p i l + l e	160	p i l + l e
15151	DonnoSo	(e.g. bird) fly	kile+e	k i l e + e	161	k i l e + e
15152	JamsayGourou	(e.g. bird) fly	pir+e	p i r + e	162	p i r + e
15153	JamsayDouentza	(e.g. bird) fly	cir+e	c i r + e	162	c i r + e
15154	Mombo	(e.g. bird) fly	pil+ye+e	p i l + ye + e	159	p i l + ye + - e
15155	BonduSoNajamba	(e.g. bird) fly	pir+i+ye	p i r + i + ye	159	p i r + i + - ye
15156	BonduSoNajamba	(e.g. bird) fly	pil+i+ye	p i l + i + ye	159	p i l + i + - ye
15157	Nanga	(e.g. bird) fly	kis+i+ye	k i s + i + ye	156	k i s + i + ye
15158	Penange	(e.g. bird) fly	pir+i+ge	p i r + i + g e	159	p i r + i + g e
15159	PergeTegu	(e.g. bird) fly	kir+i+ye	k i r + i + ye	156	k i r + i + ye
15160	TebulUre	(e.g. bird) fly	cil+li+i	c i l + l i + i	168	c i l + l i + i
15161	Tiranige	(e.g. bird) fly	pil+i+yo	p i l + i + yo	159	p i l + i + - yo
15162	TogoKan	(e.g. bird) fly	kir+i+kir+i+i	k i r + i + k i r + i + i	170	k i r + i + k i r + i + i
15163	TommoSoTongoTongo	(e.g. bird) fly	kiil+i+ye	k ii l + i + ye	156	k ii l + i + ye
15164	ToroTegu	(e.g. bird) fly	cir+o	c i r + o	162	c i r + o
15165	YandaDom	(e.g. bird) fly	kil+i+ye	k i l + i + ye	156	k i l + i + ye
15166	YornoSo	(e.g. bird) fly	kilɛ+ɛ	k i l ɛ + ɛ	161	k i l ɛ + ɛ
15330	BankanTey	(e.g. child) pour (water, from a heavy bucket carried on his head, directly into a jar)	taan+i+gaŋ	t aa n + i + g a ŋ	171	t aa n + i + g a ŋ - -
